subject,body,label,email_text
Meeting scheduled,Your meeting is scheduled for tomorrow at 2pm in conference room A,0,Meeting scheduled Your meeting is scheduled for tomorrow at 2pm in conference room A
Project update,The project has been completed on schedule with all requirements met,0,Project update The project has been completed on schedule with all requirements met
Weekly report,Please find the weekly report attached for your review,0,Weekly report Please find the weekly report attached for your review
Team announcement,Team lunch is scheduled for Friday at noon in the office,0,Team announcement Team lunch is scheduled for Friday at noon in the office
Quarterly results,Our quarterly results show strong growth in all departments,0,Quarterly results Our quarterly results show strong growth in all departments
Project deadline,The project deadline has been extended to next month,0,Project deadline The project deadline has been extended to next month
Training session,Attendance at the training session is required for new team members,0,Training session Attendance at the training session is required for new team members
System maintenance,Scheduled system maintenance will occur on Sunday night,0,System maintenance Scheduled system maintenance will occur on Sunday night
Document sharing,New documents have been shared with your team for collaboration,0,Document sharing New documents have been shared with your team for collaboration
Event invitation,You are invited to the annual company event next week,0,Event invitation You are invited to the annual company event next week
Status update,Here is the current status of all ongoing projects,0,Status update Here is the current status of all ongoing projects
Budget approval,The budget for Q1 has been approved and is ready for distribution,0,Budget approval The budget for Q1 has been approved and is ready for distribution
Policy reminder,Please review the updated company policies in the shared folder,0,Policy reminder Please review the updated company policies in the shared folder
Holiday schedule,The holiday schedule for this year has been published,0,Holiday schedule The holiday schedule for this year has been published
Performance review,Your quarterly performance review is now available,0,Performance review Your quarterly performance review is now available
Office closure,The office will be closed next Monday for maintenance,0,Office closure The office will be closed next Monday for maintenance
Newsletter,The monthly company newsletter is now available,0,Newsletter The monthly company newsletter is now available
Survey request,Please complete the employee satisfaction survey by Friday,0,Survey request Please complete the employee satisfaction survey by Friday
IT support,Your IT support ticket has been resolved,0,IT support Your IT support ticket has been resolved
Travel booking,Your business travel has been booked successfully,0,Travel booking Your business travel has been booked successfully
Conference registration,Your registration for the industry conference is confirmed,0,Conference registration Your registration for the industry conference is confirmed
Department meeting,Department meeting scheduled for next Tuesday,0,Department meeting Department meeting scheduled for next Tuesday
Resource allocation,New resources have been allocated to your project,0,Resource allocation New resources have been allocated to your project
