subject,body
Verify your account,Click here to verify your account immediately before it is suspended
Urgent action required,Confirm your banking credentials now for security purposes
Claim your reward,You have won a prize click to claim it now
Confirm identity,Verify your identity by clicking this link to continue
Password reset needed,Your password has expired reset it using this link
Update payment method,Please update your payment method to continue service
Suspicious activity detected,We detected suspicious activity on your account
Recover your account,Your account has been compromised recover access now
Limited time offer,Special discount available for limited time only
Re-confirm your password,Please re-confirm your password for security verification
Account verification required,Your account needs immediate verification to avoid suspension
Security alert,Unusual login detected please verify your identity
Payment confirmation needed,Confirm your recent payment to complete the transaction
Bank account update required,Update your bank details for continued service
Prize winner notification,Congratulations you have won a cash prize
Your Signature is Missing,Please sign the attached document immediately
New message from,You have received a new message from an important contact
New scanned fax,A fax has been received and scanned for your review
Delivery Mishap,There was an issue with your package delivery
Our driver attempted to deliver your shipment,Your package could not be delivered today
UPS Label Delivery,Your UPS package is ready for pickup
FedEx tracking,Track your FedEx package delivery status
USPS delivery,Your USPS package is out for delivery
Password Check Required Immediately,Your password security check is overdue
Password Expiration Notice,Your password will expire soon
IT: Company Policy Update,New IT security policies have been implemented
Unusual sign-in activity,We detected unusual sign-in activity on your account
Large Numbers of files were recently deleted,Security alert: files deleted from your account
LinkedIn: Profile Views,Someone viewed your LinkedIn profile
Join my network,Connect with me on LinkedIn for professional networking
You were mentioned in a meeting transcript,You were mentioned in today's meeting
A friend tagged a photo of you,Check out this photo you were tagged in
Shared a document with you,A document has been shared with you
Voice message,You have a new voice message
Fax transmission,A fax has been transmitted to your account
